aid,past_paperCount,first_year,first_genre,past_logCit,post_logCit,post_paperCount,post_career,whole_count,past_es,past_es_dis
4150,7,2000,"[61, 71, 61]",1.1379350818757132,1.1968729356955117,4,3,11,0.6666666666666666,0.8223438677917825
4151,7,2002,"[75, 73, 73, 75]",0.9879604926616162,1.030347484452772,3,2,10,0.5,0.5972623463058417
4168,7,1994,"[75, 78, 61]",2.6196362101327146,1.5536020146028804,8,7,15,0.5,0.5975261325593717
4171,5,1989,"[68, 73, 82]",1.0694215061434937,1.5781321795112713,17,15,22,0.75,0.7163218501211202
4172,11,1985,"[63, 78]",1.1612415093740702,1.8166438622410486,72,18,83,0.7,0.6200571101427637
4173,8,1991,"[32, 31]",1.3752624801505298,1.696877171039369,8,5,16,0.0,0.2953758302437387
4174,15,1997,"[61, 64, 64, 81]",2.2246893904111156,1.7414110675816443,31,7,46,0.35714285714285715,0.5461508681256996
4175,4,1994,"[78, 71, 62]",1.8636799873410004,1.93873471014796,8,9,12,0.6666666666666666,0.5042256438368101
4176,6,1995,"[61, 61, 61, 61]",0.8283022165960001,1.6768568949603488,13,7,19,0.4,0.584285111487444
4178,9,2001,"[74, 61, 74, 78]",1.827764993297239,1.8653929993314027,9,3,18,0.375,0.4724452095187632
4182,5,1993,"[75, 75, 78]",1.8529657114520504,1.7682798480795432,12,10,17,0.75,0.48230690773552504
4184,11,2001,"[75, 75, 75, 75]",1.6877613815565986,0.9809904692088403,7,4,18,0.4,0.5981865204613296
4196,22,2000,"[82, 61, 64]",2.3758884185455655,1.3831446897262627,5,4,27,0.14285714285714285,0.5618932158885712
4215,5,1998,"[75, 79]",1.7050322722130828,1.7041282626408731,13,6,18,0.75,0.5423804688146414
4228,15,1998,"[68, 5, 64, 5]",1.405424828932041,1.2178801944379163,7,5,22,0.42857142857142855,0.580626091021758
4229,18,1988,"[5, 64, 5, 81]",2.7738195250921356,1.393748204494286,41,16,59,0.29411764705882354,0.5050874575022483
4231,35,1994,"[21, 27]",1.6835450058786883,1.0912481067808204,60,11,95,0.5588235294117647,0.7637378987617939
4237,11,1989,"[78, 61, 82, 68]",1.4317063263150935,1.5778101691555835,25,15,36,0.3,0.5462611157922164
4238,12,2002,"[68, 61, 68]",1.5220373248267318,0.6931471805599453,1,0,13,0.2727272727272727,0.5897675209508745
4239,12,1989,"[61, 61]",2.0690910323431235,1.4075398114876614,26,12,38,0.2727272727272727,0.6801180247312982
4270,2,1995,"[79, 71, 73]",1.2424533248940002,1.026967811035057,15,8,17,1.0,0.7699639810417194
4271,14,2005,"[73, 71]",1.5271595254046928,0.6931471805599453,1,0,15,0.3076923076923077,0.5261185468960315
4279,13,1994,"[71, 71, 78, 42]",2.3171919888726453,1.5477846166862446,16,11,29,0.5,0.6353542048972528
4281,9,1984,"[36, 25]",1.2701423862144132,2.7485854173560846,18,16,27,0.25,0.800297046317705
4284,8,1999,"[76, 75, 75]",1.2566607397030654,1.1193342036195517,4,3,12,0.42857142857142855,0.40147083773156805
4286,34,1999,"[75, 75, 75]",2.179766645234422,1.8797730552053769,26,5,60,0.42424242424242425,0.495164937611847
4297,7,1990,"[67, 51, 51, 67]",1.5674066854333166,0.7384694664738856,6,9,13,0.8333333333333334,0.92034018367126
4308,28,2004,"[79, 71, 71, 75]",1.3709980292706816,1.545521226679158,2,0,30,0.25925925925925924,0.47228865887018306
4312,41,1999,"[78, 72, 71]",2.206006118633958,1.6837566643540403,34,5,75,0.3,0.4177098388834676
4314,32,2004,"[75, 71, 79]",1.6797697304396122,2.138333059508028,2,0,34,0.45161290322580644,0.5085745263951285
4315,36,2004,"[71, 71, 71, 79]",1.8083058540629575,2.423395820467244,5,1,41,0.37142857142857144,0.49072145612247403
4317,10,2001,"[75, 75]",1.3831446897262627,1.6547693865569015,5,4,15,0.6666666666666666,0.556985119096462
4321,17,1995,"[68, 68]",2.122721550923663,1.2042656183499663,28,10,45,0.375,0.6270138366449854
4331,2,1991,"[72, 71, 71, 72]",2.6441335153472676,1.6038913680467204,18,10,20,0.0,0.3761887139653396
4336,16,1998,"[72, 72, 72]",1.420905338119836,1.7071840825201463,38,7,54,0.3333333333333333,0.422163662499179
4340,20,2003,"[63, 64, 78]",1.9297670006962577,1.7859604125187332,7,2,27,0.5789473684210527,0.7206138064544662
4359,12,1994,[78],1.6131135137895214,0.8946374826141718,10,8,22,0.36363636363636365,0.6108466786005121
4361,2,1993,"[74, 74]",0.34657359027997264,2.3455311139280544,9,4,11,1.0,0.839573929352989
4367,26,1995,"[71, 73]",1.6006237928075806,1.9159780095640018,49,10,75,0.24,0.5520624498647614
4372,14,2000,"[78, 78]",1.4553680837038083,1.700598690831078,2,2,16,0.38461538461538464,0.5640278263961603
4378,32,2001,"[75, 75, 75, 75]",2.166251824585932,1.8375829084522748,16,3,48,0.41935483870967744,0.5018326913628751
4389,4,2001,"[52, 52, 2]",2.4544824160436205,1.4791836782052732,9,3,13,0.3333333333333333,0.8314157060205533
4412,21,1998,[87],1.6781430699910478,1.3977460120016192,15,5,36,0.4,0.5900580426722402
4417,10,1989,"[75, 75, 75]",2.0997896711823296,2.267491882710889,56,16,66,0.2222222222222222,0.35700197778500337
4441,24,2003,"[75, 75, 75, 85]",1.95593771481247,1.8124813841794971,4,1,28,0.34782608695652173,0.5240528811379732
4444,9,2001,"[75, 71, 71]",1.7747680712348135,0.9300369057890213,7,4,16,0.375,0.5761941330064015
4446,14,1989,"[71, 71, 71, 71]",1.5139155048598858,1.1959663928078315,16,13,30,0.46153846153846156,0.7444866732494284
